Reference, Quantity, Value, Footprint,MPN,"Price (1, no bulk adj)","Price (total, no bulk adj)",Link,,,,,
C1 C108 C136 C19 C2 ,5,47uF,Capacitors_SMD:C_1210,GRM32ER70J476ME20L ,1.13,5.65,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM32ER70J476ME20L/490-6542-1-ND/3845739,,,,,
C101 C102 C149 C150 C151 ,5,22pF,Capacitors_SMD:C_0201,GJM0335C0J220JB01D ,0.1,0.5,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GJM0335C0J220JB01D/490-6068-1-ND/3845268,,,,,
C107 ,1,1nF 250V,Capacitors_SMD:C_0603,GRM188R72E102KW07D ,0.1,0.1,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R72E102KW07D/490-3526-1-ND/789431,,,,,
C144 C147 ,2,220uF Tant.,Capacitors_Tantalum_SMD:CP_Tantalum_Case-T_EIA-3528-12_Reflow,F930G227KBA ,0.69,1.38,http://www.digikey.com/product-detail/en/avx-corporation/F930G227KBA/478-8139-1-ND/4005682,,,,,
C146 C148 C29 C31 ,4,1uF C0G,Capacitors_SMD:C_0402,GRM1555C1H102JA01D,0.1,0.4,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1555C1H102JA01D/490-3244-1-ND/702785,,,,,
C24 ,1,330uF,Capacitors_SMD:C_1206,F950G337MAAAQ2,1.1,1.1,http://www.digikey.com/product-detail/en/avx-corporation/F950G337MAAAQ2/478-8378-1-ND/4005885,,,,,
C25 ,1,100uF,Capacitors_SMD:C_1210,JMK325ABJ107MM-P ,0.65,0.65,http://www.digikey.com/product-detail/en/taiyo-yuden/JMK325ABJ107MM-P/587-4313-1-ND/5361257,,,,,
C27 C28 ,2,220pF C0G,Capacitors_SMD:C_0805,GRM1555C1H221JA01D,0.1,0.2,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1555C1H221JA01D/490-1293-1-ND/587915,,,,,
C109 C110 C137 C138 C15 C17 C20 C21 C22 C26 C3 C4 C98 ,13,4.7uF,Capacitors_SMD:C_0805,CL21B475KPFNNNE,0.18,2.34,http://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21B475KPFNNNE/1276-2972-1-ND/3891058,,,,,
C100 C104 C105 C106 C115 C117 C127 C128 C130 C131 C132 C133 C143 C30 C32 C34 C36 C38 C39 C40 C43 C44 C46 C48 C50 C57 C58 C60 C61 C62 C63 C66 C67 C68 C69 C70 C71 C77 C79 C81 C82 C83 C85 C88 C97 ,45,.1uF,Capacitors_SMD:C_0603,C0603C104K8RACTU ,0.1,4.5,http://www.digikey.com/product-detail/en/kemet/C0603C104K8RACTU/399-1095-1-ND/411370,,,,,
C116 C126 C129 C145 C33 C35 C37 C89 C90 C91 C92 C93 C94 C95 C96 ,15,10uF,Capacitors_SMD:C_0805,CL21A106KQCLRNC ,0.1,1.5,http://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21A106KQCLRNC/1276-2405-1-ND/3890491,,,,,
C41 ,1,.22uF,Capacitors_SMD:C_0402,JMK105B7224KV-F,0.1,0.1,http://www.digikey.com/product-detail/en/taiyo-yuden/JMK105B7224KV-F/587-2475-1-ND/2230341,,,,,
C103 C42 C45 C99 ,4,1uF,Capacitors_SMD:C_0603,LMK107B7105KA-T ,0.1,0.4,http://www.digikey.com/product-detail/en/taiyo-yuden/LMK107B7105KA-T/587-1242-1-ND/931019,,,,,
C118 C119 C120 C121 C122 C123 C124 C125 C47 C49 C59 C65 C72 C73 C74 C76 C78 C80 C84 C86 ,20,.01uF,Capacitors_SMD:C_0402,GRM155R70J103KA01D,0.1,2,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM155R70J103KA01D/490-6318-1-ND/3845515,,,,,
C10 C11 C111 C112 C113 C114 C12 C13 C139 C14 C140 C141 C142 C16 C18 C23 C5 C6 C7 C8 C9 ,21,.47uF,Capacitors_SMD:C_0603,CL10B474KQ8NNNC ,0.1,2.1,http://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10B474KQ8NNNC/1276-2086-1-ND/3890172,,,,,
C134 C135 C51 C52 ,4,15pF,Capacitors_SMD:C_0402,C0402C150J4GACTU ,0.1,0.4,http://www.digikey.com/product-detail/en/kemet/C0402C150J4GACTU/399-8947-1-ND/3522464,,,,,
C53 C87 ,2,2.2uF,Capacitors_SMD:C_0402,GRM155R61A225KE95D ,0.1,0.2,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM155R61A225KE95D/490-10451-1-ND/5026361,,,,,
